aX,aY,aZ,gX,gY,gZ
0.659,-0.123,-0.092,57.373,-157.104,-71.350
0.642,-0.139,-0.023,63.232,-159.790,-68.909
0.617,-0.124,0.064,54.443,-161.804,-69.885
0.585,-0.075,0.195,50.781,-156.738,-72.205
0.569,-0.079,0.217,42.358,-144.714,-76.416
0.516,-0.039,0.300,28.992,-145.447,-78.857
0.493,0.012,0.311,22.339,-145.569,-84.900
0.457,0.044,0.392,33.081,-144.958,-91.125
0.455,0.018,0.503,55.908,-133.667,-106.201
0.496,-0.087,0.502,65.979,-116.943,-112.549
0.509,-0.153,0.364,63.293,-92.834,-118.469
0.438,-0.213,0.223,45.288,-101.807,-118.347
0.407,-0.239,0.340,29.663,-119.812,-118.286
0.399,-0.287,0.522,31.128,-139.160,-111.450
0.367,-0.221,0.771,34.912,-134.766,-103.455
0.321,-0.134,0.800,41.199,-111.572,-100.891
0.258,-0.218,0.795,39.001,-100.708,-109.131
0.267,-0.347,0.778,12.207,-88.440,-122.559
0.405,-0.526,0.707,4.089,-81.726,-122.375
0.494,-0.591,0.644,11.353,-66.772,-109.863
0.574,-0.733,0.498,8.972,-65.125,-102.722
0.590,-0.804,0.466,-18.372,-76.965,-88.867
0.559,-0.857,0.502,-26.306,-83.252,-79.041
0.520,-0.904,0.546,-24.780,-90.393,-57.922
0.461,-0.906,0.667,-31.128,-94.360,-46.143
0.454,-0.812,0.725,-41.260,-97.778,-35.217
0.444,-0.722,0.768,-50.720,-95.337,-25.940
0.436,-0.612,0.814,-52.063,-91.003,-28.381
0.462,-0.604,0.798,-42.175,-79.407,-38.635
0.478,-0.642,0.703,-32.715,-75.562,-41.626
0.471,-0.678,0.670,-25.452,-80.994,-42.480
0.469,-0.702,0.704,-26.001,-84.839,-40.649
0.475,-0.721,0.720,-23.560,-83.618,-37.170
0.484,-0.814,0.767,-24.963,-82.886,-36.133
0.481,-0.886,0.822,-28.870,-86.182,-30.273
0.450,-1.005,1.005,-29.602,-86.792,-24.170
0.427,-1.025,1.075,-29.175,-77.698,-7.935
0.384,-0.949,1.066,-29.846,-71.045,0.671
0.375,-0.870,1.025,-31.494,-65.613,8.179
0.355,-0.657,0.995,-36.621,-59.692,17.700
0.338,-0.549,1.018,-39.612,-57.556,18.494
0.334,-0.457,1.027,-39.307,-47.058,8.362
0.362,-0.466,0.969,-33.325,-41.321,-1.770
0.383,-0.578,0.970,-24.231,-35.889,-17.334
0.400,-0.789,1.018,-21.118,-33.447,-18.311
0.399,-0.844,1.014,-12.512,-25.818,-8.728
0.384,-0.875,1.088,-6.958,-24.170,-0.244
0.374,-0.858,1.216,12.390,-13.000,16.357
0.357,-0.829,1.408,18.677,0.244,23.010
0.339,-0.776,1.421,-0.366,27.832,31.738
0.320,-0.564,1.231,-13.245,40.710,30.029
0.330,-0.471,1.030,-7.019,60.486,12.634
0.408,-0.532,0.750,4.272,58.838,2.197
0.442,-0.610,0.751,9.216,49.622,-3.723
0.448,-0.653,0.799,5.005,31.555,-0.061
0.408,-0.637,0.853,3.357,29.358,4.944
0.386,-0.592,0.837,-1.709,31.128,11.597
0.367,-0.532,0.743,-5.615,31.494,12.207
0.364,-0.511,0.709,-16.541,24.292,13.733
0.371,-0.430,0.698,-16.846,21.667,14.404
0.388,-0.415,0.673,-11.902,22.034,13.977
0.398,-0.413,0.645,-9.827,18.555,11.902
0.390,-0.395,0.658,-14.526,13.733,11.414
0.377,-0.366,0.674,-19.531,7.996,9.155
0.375,-0.338,0.663,-20.081,6.409,6.042
0.389,-0.357,0.637,-16.541,1.099,0.488
0.411,-0.419,0.615,-13.672,-3.662,-0.183
0.412,-0.437,0.639,-6.104,-11.597,2.136
0.396,-0.453,0.713,-1.038,-12.451,3.784
0.386,-0.456,0.745,-0.488,-10.925,4.761
0.373,-0.435,0.768,-8.606,-11.047,4.211
0.371,-0.415,0.753,-17.090,-10.864,3.113
0.375,-0.425,0.753,-19.531,-9.216,0.427
0.377,-0.440,0.777,-15.320,-8.606,0.000
0.378,-0.445,0.797,-6.897,-6.958,1.221
0.375,-0.437,0.756,-4.639,-8.545,0.977

0.363,-0.771,1.472,-17.456,58.838,30.823
0.338,-0.772,1.530,-18.799,74.524,43.152
0.307,-0.706,1.584,-18.616,85.144,50.232
0.292,-0.658,1.553,-22.400,112.976,58.716
0.266,-0.588,1.455,-25.818,127.197,59.631
0.256,-0.562,1.415,-29.724,151.672,60.486
0.255,-0.513,1.341,-29.175,162.170,60.913
0.263,-0.503,1.298,-27.283,171.631,61.096
0.293,-0.489,1.214,-20.935,187.073,63.232
0.284,-0.483,1.167,-17.334,194.458,65.308
0.259,-0.489,1.144,-17.517,205.261,68.176
0.222,-0.469,1.184,-20.508,210.937,69.519
0.218,-0.428,1.175,-19.165,234.375,73.303
0.198,-0.346,0.978,-16.479,248.657,75.012
0.191,-0.292,0.856,-15.564,267.090,78.064
0.168,-0.184,0.591,-9.033,273.743,80.444
0.148,-0.141,0.467,3.723,282.471,82.336
0.102,-0.040,0.272,2.869,283.752,80.444
0.090,0.006,0.187,-1.465,282.166,72.327
0.074,0.049,0.075,0.000,281.372,67.749
0.062,0.067,0.032,-0.671,280.457,63.477
0.053,0.089,-0.043,-4.150,280.396,56.335
0.086,0.141,-0.283,-0.305,279.480,53.772
0.106,0.179,-0.396,18.982,271.240,49.683
0.167,0.209,-0.618,28.687,266.296,46.753
0.204,0.217,-0.750,29.358,249.023,40.222
0.253,0.236,-0.918,20.874,235.107,35.339
0.279,0.245,-0.935,5.432,210.327,23.071
0.310,0.236,-0.972,2.991,201.538,18.066
0.319,0.229,-0.985,1.587,193.481,13.672
0.343,0.209,-1.013,-1.892,174.377,5.127
0.397,0.168,-1.044,-2.563,162.903,2.319
0.409,0.149,-1.033,0.854,144.165,-1.038
0.465,0.090,-1.034,1.404,135.864,-1.099
0.494,0.082,-1.049,-0.305,119.568,1.282
0.550,0.042,-1.122,-0.122,110.718,1.953
0.572,0.005,-1.131,-1.526,92.468,4.517
0.578,-0.066,-1.118,-2.747,86.365,7.629
0.589,-0.089,-1.110,-13.672,76.660,15.259
0.609,-0.071,-1.123,-21.240,72.205,18.982
0.600,-0.055,-1.165,-19.409,62.012,26.306
0.582,-0.041,-1.170,-11.108,55.786,28.992
0.580,-0.042,-1.126,-5.005,49.072,30.701
0.550,-0.019,-1.029,-12.085,33.936,32.776
0.536,0.000,-1.004,-14.832,28.870,34.607
0.526,0.015,-0.996,-10.925,21.484,40.588
0.497,0.091,-0.971,-9.155,16.846,42.969
0.472,0.144,-0.954,-6.226,10.315,39.734
0.469,0.186,-0.914,-6.775,7.385,33.142
0.477,0.176,-0.867,-6.348,1.282,21.790
0.485,0.157,-0.796,-4.028,1.099,18.250
0.491,0.136,-0.854,1.831,2.991,13.367
0.498,0.087,-1.032,4.761,1.221,13.184
0.492,0.087,-1.109,7.935,-8.728,14.526
0.494,0.100,-1.252,11.658,-16.052,13.916
0.515,0.079,-1.327,21.301,-35.217,10.559
0.553,0.028,-1.323,22.644,-49.438,9.277
0.563,0.020,-1.247,20.935,-64.331,8.789
0.576,0.020,-1.155,13.000,-87.891,7.446
0.569,0.040,-0.948,8.728,-96.008,6.775
0.567,0.053,-0.865,3.174,-104.248,4.944
0.580,0.087,-0.799,4.517,-105.225,4.639
0.605,0.096,-0.807,19.897,-100.403,4.028
0.663,0.142,-0.858,29.297,-94.788,3.723
0.700,0.156,-0.959,45.776,-82.642,0.000
0.749,0.141,-1.102,45.532,-85.754,-3.784
0.750,0.134,-1.090,32.410,-106.201,-12.390
0.751,0.077,-1.004,27.222,-116.394,-14.343
0.732,0.084,-0.928,22.644,-126.892,-13.428
0.663,0.175,-0.691,15.808,-144.104,-12.390
0.653,0.219,-0.566,15.869,-144.592,-15.564
0.672,0.262,-0.480,25.452,-127.991,-26.428
0.707,0.312,-0.531,31.372,-116.760,-35.400
0.716,0.284,-0.593,25.818,-116.577,-59.326
0.742,0.148,-0.569,19.775,-126.038,-66.406
0.745,0.092,-0.487,20.996,-141.724,-63.110
0.729,0.061,-0.343,28.992,-141.479,-58.228
0.727,0.065,-0.317,49.377,-130.310,-56.274
0.721,0.058,-0.323,54.016,-125.061,-58.777
0.716,0.054,-0.301,42.969,-122.864,-67.017
0.722,0.065,-0.287,34.668,-121.033,-70.984
0.719,0.057,-0.323,28.503,-119.263,-77.026
0.684,0.042,-0.339,28.625,-124.451,-78.918
0.659,0.020,-0.286,31.494,-131.775,-80.261
0.605,-0.062,-0.042,34.668,-145.264,-80.261
0.572,-0.042,0.073,24.658,-150.024,-78.613
0.525,0.036,0.196,18.005,-145.081,-78.369
0.502,0.030,0.230,29.846,-136.292,-80.872
0.476,-0.014,0.273,44.128,-120.911,-89.661
0.419,-0.077,0.357,31.555,-118.713,-94.360
0.407,-0.081,0.354,9.460,-116.455,-100.281
0.417,-0.163,0.348,11.414,-115.479,-100.769
0.444,-0.212,0.369,17.700,-113.586,-97.778
0.540,-0.250,0.331,20.569,-108.521,-94.666
0.578,-0.256,0.227,27.771,-96.924,-89.416
0.601,-0.328,0.071,24.414,-98.816,-89.050
0.604,-0.375,0.026,10.437,-110.352,-84.717
0.546,-0.458,0.016,5.249,-119.202,-78.674
0.490,-0.441,0.143,-15.137,-142.273,-65.369
0.437,-0.356,0.417,-19.226,-145.508,-63.477
0.462,-0.366,0.463,-2.197,-134.155,-65.186
0.528,-0.385,0.363,9.277,-125.671,-65.063
0.551,-0.425,0.261,15.930,-120.483,-66.345
0.571,-0.535,0.239,11.047,-130.554,-69.336
0.551,-0.593,0.300,10.193,-139.465,-67.627
0.490,-0.644,0.413,5.005,-157.166,-58.594
0.346,-0.625,0.754,-5.798,-164.307,-54.504
0.340,-0.610,0.883,-6.836,-152.954,-51.453
0.352,-0.625,0.901,-1.282,-140.076,-50.293
0.322,-0.615,0.934,-6.653,-131.470,-47.974
0.278,-0.608,1.111,-6.714,-127.319,-47.546
0.263,-0.600,1.151,-1.343,-108.643,-48.401
0.300,-0.560,1.071,1.221,-97.717,-51.697
0.352,-0.593,0.988,9.888,-81.055,-57.983
0.408,-0.714,0.886,15.442,-77.148,-57.922
0.405,-0.822,0.918,7.141,-82.214,-53.833
0.390,-0.911,1.128,-6.470,-86.060,-47.729
0.386,-0.879,1.171,-9.888,-71.228,-34.607
0.404,-0.826,1.072,-5.676,-58.838,-31.433

0.165,-0.845,1.575,-37.720,41.748,44.800
0.136,-0.791,1.612,-41.504,71.899,54.321
0.090,-0.698,1.541,-44.006,89.233,55.908
0.077,-0.666,1.486,-49.622,114.929,54.871
0.074,-0.628,1.428,-48.889,126.038,54.382
0.081,-0.603,1.384,-43.762,150.513,55.603
0.111,-0.557,1.193,-41.748,161.255,56.274
0.125,-0.534,1.087,-39.368,169.800,57.007
0.126,-0.524,1.010,-34.790,180.542,58.289
0.122,-0.503,0.988,-35.339,183.655,58.655
0.123,-0.488,0.967,-31.372,197.083,59.753
0.142,-0.468,0.844,-30.212,203.064,60.120
0.165,-0.434,0.783,-29.419,211.975,62.195
0.184,-0.367,0.639,-27.893,216.309,63.171
0.184,-0.342,0.595,-32.471,216.858,62.683
0.198,-0.284,0.594,-34.119,216.797,62.073
0.217,-0.249,0.566,-26.367,226.318,61.646
0.262,-0.178,0.383,-22.522,229.736,61.279
0.298,-0.148,0.300,-10.254,231.201,60.852
0.366,-0.087,0.201,-1.831,231.934,61.707
0.384,-0.051,0.161,2.319,231.934,62.073
0.389,-0.018,0.116,-1.831,229.004,59.021
0.401,0.039,0.046,-7.446,226.440,55.542
0.412,0.065,0.002,-11.292,227.966,46.997
0.457,0.071,-0.161,-9.094,231.384,43.274
0.488,0.065,-0.272,-6.836,228.149,39.124
0.557,0.069,-0.438,-6.165,220.093,37.842
0.584,0.071,-0.475,0.122,202.270,36.682
0.606,0.055,-0.495,2.197,193.726,37.659
0.600,0.064,-0.494,1.709,186.096,38.757
0.581,0.080,-0.498,-1.038,176.575,37.048
0.548,0.115,-0.556,-1.465,173.889,34.180
0.550,0.127,-0.609,4.517,170.837,26.855
0.601,0.112,-0.778,8.423,167.297,23.926
0.623,0.102,-0.850,10.254,150.513,21.973
0.637,0.119,-0.885,9.766,142.151,21.790
0.647,0.125,-0.924,7.446,129.700,17.578
0.710,0.104,-1.011,6.836,122.559,14.038
0.729,0.086,-1.023,6.714,114.990,10.681
0.752,0.080,-1.091,0.366,103.210,3.601
0.761,0.064,-1.226,-1.648,101.501,-0.732
0.782,0.023,-1.430,3.235,87.463,-8.484
0.848,-0.082,-1.724,8.911,64.697,-9.155
0.844,-0.108,-1.651,16.846,4.272,-3.235
0.766,-0.095,-1.176,15.503,-19.775,0.122
0.731,-0.061,-0.921,6.836,-44.800,4.761
0.692,0.060,-0.502,1.526,-48.584,7.019
0.662,0.129,-0.344,1.221,-41.138,11.536
0.605,0.216,-0.153,6.775,-29.785,11.292
0.592,0.228,-0.167,16.846,2.808,4.211
0.618,0.189,-0.461,16.724,17.578,-1.648
0.652,0.125,-0.687,15.137,26.245,-6.714
0.689,0.049,-0.870,14.771,20.691,-6.958
0.734,-0.025,-1.032,14.465,11.414,-2.441
0.738,-0.031,-1.082,12.329,-6.470,7.141
0.755,0.008,-1.170,9.644,-16.663,11.230
0.767,0.062,-1.196,11.780,-38.757,19.165
0.785,0.154,-1.202,15.991,-48.950,20.508
0.786,0.176,-1.167,13.489,-70.190,16.968
0.788,0.188,-1.055,9.033,-80.078,13.733
0.781,0.194,-0.976,0.488,-97.351,5.737
0.782,0.208,-0.763,-4.700,-103.027,0.427
0.797,0.209,-0.694,-5.249,-99.365,-10.742
0.830,0.209,-0.669,-3.540,-93.262,-17.212
0.844,0.220,-0.667,-3.723,-87.036,-24.780
0.883,0.181,-0.771,1.038,-74.280,-40.527
0.909,0.119,-0.861,7.690,-73.608,-45.471
0.917,0.064,-0.900,20.386,-89.966,-43.701
0.866,0.012,-0.742,21.973,-101.196,-41.565
0.836,0.012,-0.620,13.611,-112.183,-44.678
0.800,0.032,-0.440,10.559,-109.680,-48.523
0.791,0.041,-0.401,6.714,-99.854,-60.059
0.781,0.040,-0.333,2.441,-97.656,-67.566
0.779,0.038,-0.298,1.282,-97.290,-76.843
0.766,0.014,-0.311,7.263,-100.525,-76.599
0.748,-0.001,-0.314,24.963,-119.507,-69.824
0.711,-0.027,-0.191,33.997,-129.395,-66.101
0.687,-0.022,-0.112,47.546,-133.545,-61.218
0.651,-0.007,0.001,48.645,-129.639,-62.805
0.638,0.006,0.027,29.419,-123.291,-70.618
0.598,0.050,0.046,19.104,-121.460,-74.280
0.578,0.064,0.055,14.648,-119.812,-78.064
0.563,0.060,0.054,16.602,-120.605,-85.999
0.555,0.005,0.107,22.400,-121.643,-88.501
0.563,-0.023,0.148,39.368,-112.671,-92.407
0.559,-0.081,0.102,39.673,-106.079,-97.595
0.561,-0.133,0.059,26.367,-104.004,-109.131
0.572,-0.207,0.007,24.841,-105.591,-110.352
0.578,-0.222,-0.010,38.086,-104.431,-110.779
0.604,-0.310,-0.047,46.753,-102.844,-111.877
0.596,-0.355,-0.046,48.584,-105.835,-110.291
0.489,-0.423,0.050,39.063,-112.610,-108.704
0.425,-0.468,0.178,4.395,-137.329,-106.567
0.374,-0.507,0.489,-6.287,-142.334,-104.126
0.382,-0.523,0.560,8.972,-123.962,-98.511
0.413,-0.493,0.547,20.447,-109.436,-96.680
0.437,-0.473,0.473,30.518,-94.849,-97.046
0.436,-0.545,0.276,46.387,-72.571,-103.027
0.387,-0.633,0.276,40.222,-72.876,-106.262
0.341,-0.720,0.364,-0.732,-94.177,-106.262
0.286,-0.823,0.620,-17.883,-103.821,-100.464
0.266,-0.817,0.752,-28.442,-108.826,-81.665
0.247,-0.731,0.918,-23.743,-100.403,-73.181
0.244,-0.678,0.896,-13.306,-70.129,-64.148
0.235,-0.659,0.777,-17.090,-59.082,-64.087
0.244,-0.670,0.751,-37.842,-50.659,-69.275
0.336,-0.727,0.667,-35.706,-44.678,-72.815
0.400,-0.803,0.580,-11.963,-31.921,-74.158
0.473,-0.948,0.383,-5.432,-30.579,-71.289
0.486,-1.013,0.300,-5.859,-38.757,-61.157
0.492,-1.102,0.259,-13.306,-49.072,-53.772
0.480,-1.093,0.338,-34.302,-75.073,-36.194
0.406,-0.973,0.580,-43.457,-84.778,-28.137
0.356,-0.895,0.704,-51.025,-90.759,-18.127
0.268,-0.801,0.865,-47.119,-84.717,-15.869
0.219,-0.764,0.913,-39.856,-69.092,-17.944
0.167,-0.741,1.009,-38.147,-62.744,-24.597
0.183,-0.784,1.048,-33.936,-55.420,-32.898
0.244,-0.960,1.068,-15.808,-37.415,-42.114

0.507,-0.804,1.349,2.197,34.485,29.358
0.503,-0.861,1.377,20.935,54.749,37.598
0.482,-0.915,1.368,23.132,64.392,44.250
0.457,-0.912,1.353,14.526,75.989,57.556
0.363,-0.903,1.417,8.118,77.820,64.514
0.301,-0.877,1.522,-2.502,80.811,81.543
0.192,-0.693,1.731,-3.052,90.393,90.027
0.161,-0.589,1.714,0.427,108.948,95.703
0.139,-0.509,1.596,-0.122,152.588,99.365
0.091,-0.361,1.232,-6.348,166.504,99.487
0.075,-0.325,1.102,-10.315,173.828,96.436
0.026,-0.366,1.093,-10.681,171.692,95.886
-0.011,-0.369,1.159,-18.921,180.481,98.206
-0.052,-0.288,1.145,-21.362,194.458,99.487
-0.066,-0.224,1.029,-25.024,225.281,98.572
-0.074,-0.142,0.775,-25.940,236.023,94.971
-0.061,-0.119,0.691,-23.682,251.282,88.745
-0.033,-0.056,0.515,-20.630,257.568,87.097
-0.014,-0.022,0.406,-14.893,257.629,83.252
0.011,0.017,0.328,-9.888,256.348,81.665
0.005,0.024,0.322,-2.747,259.766,80.322
-0.011,0.040,0.297,4.578,276.367,75.806
-0.037,0.077,0.125,1.892,284.790,70.923
-0.037,0.100,-0.003,-7.629,293.701,61.340
-0.018,0.224,-0.272,-9.338,296.753,57.251
0.021,0.292,-0.453,3.723,299.805,46.692
0.141,0.327,-0.890,15.808,294.617,42.297
0.205,0.313,-1.075,22.644,269.043,37.415
0.295,0.301,-1.242,15.442,247.681,36.011
0.321,0.303,-1.191,-2.075,206.177,31.067
0.374,0.285,-1.170,-8.484,191.467,29.114
0.382,0.293,-1.177,-12.756,177.734,28.198
0.373,0.332,-1.166,-15.442,154.541,22.400
0.401,0.364,-1.209,-10.864,145.752,14.404
0.455,0.307,-1.228,1.709,128.662,-1.587
0.544,0.201,-1.229,5.310,121.765,-5.005
0.565,0.180,-1.226,5.554,110.107,-9.888
0.601,0.088,-1.120,0.610,104.980,-13.977
0.629,-0.005,-1.067,-26.306,98.389,-15.259
0.635,-0.109,-1.069,-41.443,97.900,-8.972
0.637,-0.102,-1.145,-51.941,100.342,8.362
0.642,0.040,-1.445,-44.373,94.727,15.320
0.640,0.080,-1.536,-28.625,80.872,18.127
0.638,0.072,-1.503,0.366,43.030,17.883
0.606,0.064,-1.320,3.418,26.733,18.433
0.580,0.093,-1.264,-3.723,2.747,17.334
0.542,0.152,-1.152,-3.052,-6.104,15.259
0.542,0.145,-1.047,2.930,-21.240,8.972
0.542,0.137,-0.840,1.282,-26.489,6.104
0.537,0.138,-0.779,-3.418,-29.724,1.587
0.539,0.109,-0.758,-2.686,-28.137,0.610
0.551,0.094,-0.808,4.333,-23.132,-0.366
0.576,0.069,-0.951,6.653,-23.315,-0.793
0.582,0.061,-1.026,8.301,-25.208,-1.099
0.614,0.006,-1.110,9.521,-34.912,-2.441
0.615,-0.011,-1.083,3.479,-46.265,-2.808
0.606,-0.016,-1.021,-7.019,-69.214,-2.625
0.583,0.032,-0.868,-5.249,-73.120,-2.075
0.608,0.059,-0.862,9.033,-62.439,-4.700
0.679,0.059,-0.961,12.085,-58.472,-7.324
0.699,0.073,-1.015,8.545,-60.913,-12.817
0.715,0.102,-1.131,9.949,-65.918,-16.235
0.719,0.071,-1.171,16.541,-86.670,-21.667
0.699,0.035,-1.110,17.700,-98.633,-20.508
0.680,0.061,-1.042,14.893,-116.455,-20.081
0.655,0.153,-0.865,8.850,-123.230,-23.376
0.656,0.205,-0.769,4.944,-125.793,-35.767
0.658,0.257,-0.593,9.705,-122.192,-44.189
0.664,0.245,-0.527,11.963,-110.535,-64.331
0.689,0.192,-0.440,7.507,-104.492,-73.059
0.689,0.184,-0.413,2.014,-98.633,-79.102
0.683,0.197,-0.439,-6.042,-91.553,-87.463
0.683,0.162,-0.462,-2.258,-92.041,-92.346
0.686,0.098,-0.450,14.526,-95.276,-99.365
0.687,0.002,-0.367,18.494,-96.069,-99.182
0.684,-0.014,-0.318,18.555,-93.811,-97.534
0.653,-0.007,-0.227,16.296,-91.492,-97.900
0.629,-0.006,-0.208,12.268,-84.045,-103.943
0.610,-0.062,-0.235,8.850,-82.336,-109.253
0.630,-0.126,-0.272,8.606,-83.435,-116.089
0.685,-0.266,-0.309,12.573,-85.999,-114.014
0.684,-0.294,-0.293,8.850,-100.647,-100.952
0.633,-0.263,-0.166,-0.427,-110.840,-95.398
0.604,-0.236,-0.067,-4.761,-116.760,-92.163
0.579,-0.280,0.074,0.183,-109.680,-94.299
0.590,-0.314,0.081,-6.714,-92.957,-99.060
0.633,-0.318,-0.026,-10.559,-86.304,-99.487
0.653,-0.330,-0.120,1.038,-79.529,-97.473
0.647,-0.420,-0.234,2.136,-86.121,-94.482
0.614,-0.447,-0.159,-18.860,-116.943,-85.327
0.556,-0.432,0.122,-21.851,-125.000,-81.116
0.541,-0.410,0.203,-6.226,-114.868,-77.759
0.529,-0.350,0.158,-1.648,-106.079,-79.468
0.531,-0.347,0.085,1.221,-98.938,-82.703
0.503,-0.425,0.040,5.066,-96.008,-87.280
0.469,-0.461,0.114,-4.883,-103.455,-86.975
0.397,-0.473,0.368,-38.147,-120.056,-82.031
0.356,-0.454,0.473,-49.866,-122.681,-78.613
0.323,-0.446,0.540,-49.072,-112.122,-79.895
0.322,-0.502,0.508,-38.391,-99.731,-84.351
0.329,-0.570,0.442,-28.870,-83.313,-87.402
0.308,-0.745,0.460,-45.898,-88.989,-84.534
0.299,-0.768,0.546,-85.693,-101.013,-71.045
0.349,-0.720,0.539,-82.214,-94.543,-64.636
0.398,-0.707,0.467,-55.969,-76.843,-59.143
0.474,-0.700,0.262,-46.753,-71.167,-59.143
0.501,-0.737,0.139,-37.354,-73.364,-62.622
0.492,-0.908,0.118,-43.457,-86.792,-61.646
0.449,-0.955,0.250,-68.237,-121.460,-46.631
0.365,-0.943,0.507,-73.303,-130.188,-37.476
0.353,-0.906,0.595,-72.937,-134.644,-25.208
0.333,-0.808,0.769,-68.542,-132.996,-22.949
0.308,-0.805,0.880,-52.307,-122.192,-26.733
0.268,-0.909,1.130,-53.589,-115.723,-29.114
0.262,-0.935,1.222,-77.332,-103.882,-27.039
0.310,-0.911,1.311,-79.651,-95.276,-23.987
0.342,-0.919,1.328,-60.059,-74.219,-17.029
0.384,-0.922,1.289,-51.819,-63.171,-13.123
0.398,-0.902,1.213,-44.373,-39.368,-6.775

0.451,-0.881,1.287,1.587,25.513,11.475
0.433,-0.882,1.302,-4.517,37.659,25.208
0.385,-0.824,1.319,-5.798,43.701,32.043
0.359,-0.776,1.335,-9.460,55.908,43.152
0.308,-0.663,1.342,-11.963,64.087,46.570
0.287,-0.620,1.313,-13.733,73.792,48.096
0.278,-0.596,1.269,-14.221,92.529,48.218
0.268,-0.570,1.205,-13.855,99.792,48.950
0.259,-0.566,1.195,-14.771,111.877,51.270
0.246,-0.581,1.200,-15.930,117.554,52.551
0.254,-0.585,1.195,-17.273,128.357,57.556
0.275,-0.547,1.139,-18.982,133.118,61.096
0.283,-0.512,1.095,-22.583,143.250,64.697
0.292,-0.461,1.044,-22.156,149.475,64.392
0.293,-0.463,1.026,-17.151,167.419,63.843
0.297,-0.455,0.948,-18.433,176.392,64.880
0.312,-0.422,0.859,-20.630,184.570,66.528
0.398,-0.373,0.680,-18.555,193.420,69.092
0.447,-0.358,0.639,-18.188,192.200,70.740
0.475,-0.318,0.618,-27.161,182.739,76.294
0.474,-0.211,0.578,-26.978,180.237,77.576
0.465,-0.171,0.548,-16.479,180.847,75.500
0.446,-0.125,0.470,-10.437,180.969,73.242
0.445,-0.130,0.444,-1.770,181.091,72.266
0.424,-0.108,0.397,-2.808,179.749,74.341
0.403,-0.078,0.389,-1.099,182.739,77.454
0.350,-0.030,0.326,4.822,190.369,77.698
0.327,-0.036,0.232,8.667,197.388,76.111
0.317,-0.044,0.112,3.235,189.758,70.862
0.346,-0.042,0.009,2.319,179.016,70.557
0.346,-0.021,0.049,5.249,172.668,75.745
0.292,0.089,0.091,2.075,180.237,75.745
0.264,0.147,0.033,-4.883,210.449,62.988
0.284,0.189,-0.312,-4.700,224.304,53.467
0.344,0.190,-0.562,6.287,221.497,38.818
0.468,0.123,-0.824,13.672,203.979,36.987
0.482,0.135,-0.784,14.954,186.401,39.124
0.474,0.188,-0.715,1.038,174.927,38.086
0.471,0.263,-0.735,-4.883,179.932,30.151
0.499,0.249,-0.828,-8.423,187.622,11.414
0.549,0.195,-0.938,-9.827,185.974,4.883
0.576,0.169,-0.970,-12.756,181.152,-1.831
0.635,0.106,-1.106,-13.611,177.002,-2.930
0.664,0.087,-1.155,-16.418,163.147,-4.456
0.697,0.051,-1.261,-19.958,154.602,-5.920
0.711,0.021,-1.326,-22.156,134.094,-9.521
0.728,0.000,-1.354,-21.423,124.023,-8.240
0.715,0.014,-1.326,-20.630,107.178,-2.441
0.679,0.028,-1.222,-22.766,97.473,-0.427
0.669,0.039,-1.137,-26.184,85.510,0.549
0.648,0.057,-1.053,-23.254,67.505,3.296
0.593,0.079,-1.029,-14.771,63.293,6.714
0.564,0.093,-1.061,-0.122,51.758,12.207
0.512,0.125,-1.038,0.000,43.640,10.620
0.488,0.126,-1.039,-1.404,30.273,3.174
0.480,0.049,-1.144,3.357,23.682,1.526
0.489,0.008,-1.177,12.207,3.540,6.653
0.457,0.021,-1.149,11.047,-7.812,9.277
0.427,0.048,-1.134,8.362,-17.334,9.033
0.446,0.026,-1.191,11.414,-33.386,2.625
0.487,-0.009,-1.190,17.883,-44.128,0.916
0.511,-0.021,-1.131,21.179,-65.979,4.822
0.542,0.040,-1.084,17.334,-70.068,6.897
0.551,0.085,-1.128,15.381,-71.594,4.028
0.581,0.135,-1.259,18.982,-71.716,-1.160
0.604,0.112,-1.302,24.414,-80.872,-13.306
0.644,0.024,-1.284,20.935,-93.262,-17.212
0.655,0.008,-1.220,9.583,-125.610,-16.235
0.636,0.045,-0.965,10.803,-138.123,-13.611
0.623,0.057,-0.818,22.644,-146.301,-12.207
0.624,0.102,-0.586,24.902,-142.822,-14.893
0.642,0.137,-0.546,25.085,-125.488,-28.442
0.689,0.161,-0.527,23.560,-117.249,-38.147
0.710,0.146,-0.553,20.203,-112.000,-46.997
0.735,0.070,-0.607,23.071,-111.877,-56.763
0.739,0.027,-0.566,30.212,-116.150,-57.190
0.745,-0.018,-0.505,37.231,-123.962,-53.101
0.756,-0.062,-0.345,33.264,-125.854,-48.767
0.759,-0.041,-0.290,26.306,-118.103,-40.283
0.749,-0.000,-0.277,24.414,-113.098,-39.673
0.732,0.004,-0.260,9.460,-115.234,-46.692
0.730,0.029,-0.242,5.127,-116.821,-51.208
0.756,-0.016,-0.245,19.287,-117.126,-55.664
0.788,-0.098,-0.135,24.963,-117.798,-52.002
0.787,-0.071,-0.108,33.081,-111.145,-42.114
0.769,-0.025,-0.136,37.354,-106.628,-41.382
0.754,-0.002,-0.129,31.250,-103.333,-46.875
0.731,0.046,-0.138,26.917,-100.220,-52.673
0.737,0.020,-0.189,20.203,-96.924,-65.186
0.745,-0.044,-0.222,16.663,-101.379,-67.322
