aX,aY,aZ,gX,gY,gZ
2.228,0.455,0.970,146.606,-41.382,-42.664
3.124,0.628,0.607,220.154,-69.519,-35.400
4.000,1.117,0.117,228.577,-89.111,-52.917
4.000,1.251,0.190,53.955,-70.984,-132.202
3.697,1.226,0.213,-52.185,-44.067,-152.893
3.144,1.573,-0.097,-163.147,-33.630,-140.259
0.368,2.036,-1.076,-200.806,-65.613,-137.207
-2.294,1.178,-0.529,-246.948,-215.332,-81.604
-4.000,-1.524,3.600,-200.867,-284.241,-14.587
-4.000,-2.970,4.000,-84.595,-271.729,16.907
-3.762,-3.443,3.460,233.215,-65.247,19.958
-2.527,-1.365,1.267,290.710,64.270,74.036
2.066,2.776,-2.470,164.856,125.732,111.206
2.223,2.823,-2.048,67.810,55.725,56.885
1.033,1.843,-0.743,-9.644,-68.604,-72.571
-0.981,-0.341,1.047,-10.620,-65.613,-99.365
-1.017,-0.649,1.138,-12.024,-13.184,-73.181
-0.488,-0.431,0.875,-13.367,-0.610,-56.763
-0.375,-0.401,0.867,-19.592,-0.122,-43.091
-0.441,-0.606,0.881,-6.592,-4.639,-33.630
-0.563,-0.784,0.902,22.644,-10.315,0.488
-0.572,-0.888,0.895,15.930,-5.188,17.761
-0.408,-0.730,0.819,-9.460,10.010,47.546
0.112,-0.048,0.615,-21.912,14.343,58.594
0.240,0.179,0.571,-54.443,8.240,39.673
0.091,-0.139,0.894,-64.941,1.892,25.635
-0.038,-0.323,0.984,-66.528,1.648,33.264
-0.143,-0.427,0.965,-60.730,0.488,39.185
-0.149,-0.376,0.978,-56.702,-2.808,43.518
-0.224,-0.330,1.038,-40.039,-11.292,35.950
-0.253,-0.357,1.138,-16.846,-18.555,26.794
-0.159,-0.235,1.252,12.939,-18.616,28.015
-0.067,-0.097,1.240,9.338,-10.254,21.179
-0.132,-0.127,1.199,10.071,1.221,7.874
-0.150,-0.166,1.046,20.691,3.601,4.456
-0.119,-0.184,0.986,38.452,-0.305,5.005
-0.089,-0.146,0.874,37.048,-1.648,4.822
-0.111,-0.187,0.880,81.848,-7.324,0.305
-0.181,-0.136,0.731,197.266,-8.118,-7.324
-0.276,0.271,0.010,936.706,-39.246,-103.088
-0.934,0.570,-0.172,1187.561,-179.260,-276.367
-0.583,-1.733,2.002,96.863,-328.735,-434.387
-0.282,-1.843,1.429,-198.425,-105.469,-176.392
-0.461,-0.577,0.412,-1.465,17.822,70.435
-0.428,-0.396,0.657,49.500,-29.968,35.278
-0.343,-0.543,0.759,50.720,-48.889,4.883
-0.373,-0.625,0.807,34.790,-40.527,1.282
-0.432,-0.611,0.670,52.124,-26.245,7.446
-0.442,-0.581,0.610,128.113,-28.564,2.686
-0.381,-0.858,0.596,147.400,-32.471,-0.671
-0.432,-0.923,0.964,-12.085,2.258,41.992
-0.554,-0.253,0.495,-122.498,49.255,45.044
-0.474,-0.283,0.223,-142.639,23.926,-48.401
-0.394,-0.811,0.846,-155.151,1.404,-61.829
-0.317,-0.567,0.895,-229.248,22.217,-25.696
-0.339,-0.490,0.716,-181.030,23.987,-19.043
-0.377,-0.480,0.740,-32.043,7.935,-2.625
-0.429,-0.560,0.698,-3.052,7.263,-0.122
-0.438,-0.618,0.617,-27.161,8.789,1.526
-0.327,-0.480,0.685,-39.551,8.362,2.686
-0.303,-0.456,0.766,-56.580,13.123,0.244
-0.401,-0.557,0.729,-97.900,30.884,-3.174
-0.421,-0.564,0.806,-108.887,31.555,1.099
-0.417,-0.546,0.900,-173.035,42.358,11.902
-0.380,-0.446,0.713,-180.603,45.959,13.794
-0.349,-0.416,0.797,-112.854,28.503,9.827
-0.338,-0.410,0.941,-111.206,31.555,9.521
-0.352,-0.396,0.943,-119.019,38.330,14.771
-0.378,-0.393,0.969,-124.451,41.321,17.700
-0.384,-0.393,0.973,-145.630,46.570,28.931
-0.312,-0.268,0.974,-149.719,47.607,34.424
-0.273,-0.208,0.888,-123.779,45.349,31.555
-0.234,-0.157,0.829,-83.191,33.142,24.475
-0.242,-0.164,0.920,-30.334,11.902,12.878
-0.305,-0.190,1.035,-26.062,9.827,10.864
-0.310,-0.199,1.052,-41.809,17.334,11.536
-0.249,-0.159,0.947,-51.575,20.996,12.939
-0.222,-0.115,0.921,-59.998,22.156,13.184
-0.238,-0.115,0.894,-65.247,20.386,6.897
-0.295,-0.172,0.973,-51.453,14.587,5.005
